Nome,wd-theme,ultVers,trans-PTbr,ultData,iniData,ultAnoAtiv,git-issues,git-contribs,aval-visEstilo,aval-funcao,aval-visual,aval-func,aval-cons-data,aval-consenso,aval-issueID,URL-codigo,URL-exemplo,Notas
Govpress,govpress,1.5.1,82%,2016-01,2014-01,baixa,98,5,classico,basico,bom,bom,2016-10,ppkrauss; xxx,,https://github.com/govfresh/govpress/,,"Abandonado em favor de comercial, proudcity.com, modelo westcarrollton.org"
OKFN,-,-,0%,2015-03,2014-10,baixa,33,4,classico-dedicado,basico,bom,bom,,,,https://github.com/okfn/wordpress-theme,http://br.okfn.org/,"Falta testar se em abandono, comparando com novo layout."
